Distance,B
788,0.881131
789,0.881181
790,0.881232
791,0.881282
792,0.881332
793,0.881382
794,0.881432
795,0.881481
796,0.881531
797,0.881581
798,0.881631
799,0.881680
800,0.881730
801,0.881780
802,0.881829
803,0.881879
804,0.881928
805,0.881977
806,0.882027
807,0.882076
808,0.882125
809,0.882174
810,0.882223
811,0.882272
812,0.882321
813,0.882370
814,0.882419
815,0.882468
816,0.882517
817,0.882566
818,0.882615
819,0.882663
820,0.882712
821,0.882760
822,0.882809
823,0.882857
824,0.882906
825,0.882954
826,0.883003
827,0.883051
828,0.883099
829,0.883147
830,0.883196
831,0.883244
832,0.883292
833,0.883340
834,0.883388
835,0.883436
836,0.883483
837,0.883531
838,0.883579
839,0.883627
840,0.883675
841,0.883722
842,0.883770
843,0.883817
844,0.883865
845,0.883912
846,0.883960
847,0.884007
848,0.884054
849,0.884102
850,0.884149
851,0.884196
852,0.884243
853,0.884290
854,0.884337
855,0.884384
856,0.884431
857,0.884478
858,0.884525
859,0.884572
860,0.884619
861,0.884665
862,0.884712
863,0.884759
864,0.884805
865,0.884852
866,0.884898
867,0.884945
868,0.884991
869,0.885038
870,0.885084
871,0.885130
872,0.885176
873,0.885223
874,0.885269
875,0.885315
876,0.885361
877,0.885407
878,0.885453
879,0.885499
880,0.885545
881,0.885591
882,0.885636
883,0.885682
884,0.885728
885,0.885774
886,0.885819
887,0.885865
888,0.885910
889,0.885956
890,0.886001
891,0.886047
892,0.886092
893,0.886137
894,0.886183
895,0.886228
896,0.886273
897,0.886318
898,0.886363
899,0.886409
900,0.886454
901,0.886499
902,0.886544
903,0.886588
904,0.886633
905,0.886678
906,0.886723
907,0.886768
908,0.886812
909,0.886857
910,0.886902
911,0.886946
912,0.886991
913,0.887035
914,0.887080
915,0.887124
916,0.887169
917,0.887213
918,0.887257
919,0.887302
920,0.887346
921,0.887390
922,0.887434
923,0.887478
924,0.887522
925,0.887566
926,0.887610
927,0.887654
928,0.887698
929,0.887742
930,0.887786
931,0.887830
932,0.887873
933,0.887917
934,0.887961
935,0.888004
936,0.888048
937,0.888091
938,0.888135
939,0.888178
940,0.888222
941,0.888265
942,0.888308
943,0.888352
944,0.888395
945,0.888438
946,0.888481
947,0.888525
948,0.888568
949,0.888611
950,0.888654
951,0.888697
952,0.888740
953,0.888783
954,0.888826
955,0.888868
956,0.888911
957,0.888954
958,0.888997
959,0.889039
960,0.889082
961,0.889125
962,0.889167
963,0.889210
964,0.889252
965,0.889295
966,0.889337
967,0.889380
968,0.889422
969,0.889464
970,0.889507
971,0.889549
972,0.889591
973,0.889633
974,0.889675
975,0.889717
976,0.889759
977,0.889802
978,0.889844
979,0.889885
980,0.889927
981,0.889969
982,0.890011
983,0.890053
984,0.890095
985,0.890136
986,0.890178
987,0.890220
988,0.890261
989,0.890303
990,0.890344
991,0.890386
992,0.890427
993,0.890469
994,0.890510
995,0.890552
996,0.890593
997,0.890634
998,0.890676
999,0.890717
1000,0.890758
1001,0.890799
1002,0.890840
1003,0.890881
1004,0.890922
1005,0.890963
1006,0.891004
1007,0.891045
1008,0.891086
1009,0.891127
1010,0.891168
1011,0.891209
1012,0.891249
1013,0.891290
1014,0.891331
1015,0.891372
1016,0.891412
1017,0.891453
1018,0.891493
1019,0.891534
1020,0.891574
1021,0.891615
1022,0.891655
1023,0.891696
1024,0.891736
1025,0.891776
1026,0.891817
1027,0.891857
1028,0.891897
1029,0.891937
1030,0.891977
1031,0.892017
1032,0.892058
1033,0.892098
1034,0.892138
1035,0.892178
1036,0.892218
1037,0.892257
1038,0.892297
1039,0.892337
1040,0.892377
1041,0.892417
1042,0.892457
1043,0.892496
1044,0.892536
1045,0.892576
1046,0.892615
1047,0.892655
1048,0.892694
1049,0.892734
1050,0.892773
1051,0.892813
1052,0.892852
1053,0.892892
1054,0.892931
1055,0.892970
1056,0.893009
1057,0.893049
1058,0.893088
1059,0.893127
1060,0.893166
1061,0.893205
1062,0.893245
1063,0.893284
1064,0.893323
1065,0.893362
1066,0.893401
1067,0.893439
1068,0.893478
1069,0.893517
1070,0.893556
1071,0.893595
1072,0.893634
1073,0.893672
1074,0.893711
1075,0.893750
1076,0.893788
1077,0.893827
1078,0.893866
1079,0.893904
1080,0.893943
1081,0.893981
1082,0.894020
1083,0.894058
1084,0.894096
1085,0.894135
1086,0.894173
1087,0.894211
1088,0.894250
1089,0.894288
1090,0.894326
1091,0.894364
1092,0.894402
1093,0.894440
1094,0.894479
1095,0.894517
1096,0.894555
1097,0.894593
1098,0.894631
1099,0.894669
1100,0.894706
1101,0.894744
1102,0.894782
1103,0.894820
1104,0.894858
1105,0.894895
1106,0.894933
1107,0.894971
1108,0.895008
1109,0.895046
1110,0.895084
1111,0.895121
1112,0.895159
1113,0.895196
1114,0.895234
1115,0.895271
1116,0.895309
1117,0.895346
1118,0.895383
1119,0.895421
1120,0.895458
1121,0.895495
1122,0.895532
1123,0.895570
1124,0.895607
1125,0.895644
1126,0.895681
1127,0.895718
1128,0.895755
1129,0.895792
1130,0.895829
1131,0.895866
1132,0.895903
1133,0.895940
1134,0.895977
1135,0.896014
1136,0.896051
1137,0.896087
1138,0.896124
1139,0.896161
1140,0.896198
1141,0.896234
1142,0.896271
1143,0.896308
1144,0.896344
1145,0.896381
1146,0.896417
1147,0.896454
1148,0.896490
1149,0.896527
1150,0.896563
1151,0.896600
1152,0.896636
1153,0.896672
1154,0.896709
1155,0.896745
1156,0.896781
1157,0.896817
1158,0.896853
1159,0.896890
1160,0.896926
1161,0.896962
1162,0.896998
1163,0.897034
