= Calculating relative diversity (B) for all neutral sites across the genome. = = =
Using recombination (crossover) map from ../bin/200kb.map
Plot saved to genome_plot.png
= B value calculated in 9.37 seconds. = = =
         7150684 function calls (7025948 primitive calls) in 9.813 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.037    0.007 axis.py:1320(get_tightbbox)
        1    0.000    0.000    0.037    0.037 _axes.py:1(<module>)
     5596    0.008    0.000    0.036    0.000 collections.py:310(_prepare_points)
        1    0.000    0.000    0.036    0.036 __config__.py:1(<module>)
       12    0.000    0.000    0.036    0.003 _base.py:2300(add_line)
    14064    0.005    0.000    0.035    0.000 fromnumeric.py:2421(all)
       12    0.000    0.000    0.035    0.003 _base.py:2328(_update_line_limits)
8454/8424    0.015    0.000    0.034    0.000 units.py:164(get_converter)
     2860    0.002    0.000    0.034    0.000 transforms.py:1418(__sub__)
    22454    0.016    0.000    0.034    0.000 _ufunc_config.py:33(seterr)
     5596    0.007    0.000    0.033    0.000 core.py:3217(__getitem__)
     2798    0.002    0.000    0.033    0.000 transforms.py:930(update_from_data_xy)
    14001    0.004    0.000    0.033    0.000 fromnumeric.py:2322(any)
    11216    0.004    0.000    0.033    0.000 transforms.py:2391(_iter_break_from_left_to_right)
        2    0.000    0.000    0.031    0.015 _base.py:1(<module>)
     2810    0.006    0.000    0.031    0.000 transforms.py:858(update_from_path)
     2798    0.002    0.000    0.030    0.000 core.py:8204(asarray)
    19989    0.005    0.000    0.030    0.000 figure.py:68(_stale_figure_callback)
    11192    0.023    0.000    0.030    0.000 nanfunctions.py:68(_replace_nan)
        4    0.000    0.000    0.030    0.007 axis.py:1379(draw)
    11376    0.011    0.000    0.029    0.000 transforms.py:2348(__init__)
    20420    0.005    0.000    0.029    0.000 artist.py:416(pchanged)
        1    0.000    0.000    0.029    0.029 colors.py:1(<module>)
     2799    0.008    0.000    0.028    0.000 core.py:2808(__new__)
     2831    0.003    0.000    0.028    0.000 transforms.py:2576(__init__)
       31    0.001    0.000    0.027    0.001 axis.py:1270(_update_ticks)
    28338    0.025    0.000    0.027    0.000 transforms.py:182(set_children)
     6851    0.003    0.000    0.027    0.000 re.py:288(_compile)
     5596    0.005    0.000    0.027    0.000 collections.py:762(_set_facecolor)
      160    0.001    0.000    0.027    0.000 text.py:915(get_window_extent)
     2829    0.002    0.000    0.026    0.000 patches.py:880(get_bbox)
    25345    0.005    0.000    0.026    0.000 _methods.py:61(_all)
        1    0.013    0.013    0.026    0.026 backend_macosx.py:148(__init__)
        1    0.000    0.000    0.026    0.026 axes3d.py:1(<module>)
      319    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      223    0.008    0.000    0.025    0.000 artist.py:1517(get_setters)
   100008    0.025    0.000    0.025    0.000 {method 'copy' of 'numpy.ndarray' objects}
      185    0.002    0.000    0.025    0.000 text.py:358(_get_layout)
      319    0.025    0.000    0.025    0.000 {built-in method marshal.loads}
     5702    0.001    0.000    0.025    0.000 backend_bases.py:690(new_gc)
    24096    0.025    0.000    0.025    0.000 {built-in method numpy.asarray}
        3    0.000    0.000    0.025    0.008 core.py:1(<module>)
     5702    0.008    0.000    0.024    0.000 backend_bases.py:766(__init__)
    20431    0.014    0.000    0.024    0.000 cbook.py:285(process)
     5768    0.002    0.000    0.024    0.000 re.py:197(search)
     8394    0.007    0.000    0.023    0.000 collections.py:677(_bcast_lwls)
     2810    0.022    0.000    0.023    0.000 {built-in method matplotlib._path.update_path_extents}
    96318    0.016    0.000    0.023    0.000 __init__.py:690(_get)
      215    0.001    0.000    0.023    0.000 sre_compile.py:783(compile)
      386    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap>:921(_find_spec)
    11192    0.012    0.000    0.022    0.000 core.py:3346(__setitem__)
15872/15716    0.003    0.000    0.022    0.000 {built-in method builtins.next}
    11227    0.004    0.000    0.022    0.000 _ufunc_config.py:430(__enter__)
        9    0.000    0.000    0.021    0.002 _base.py:729(__init_subclass__)
     2798    0.001    0.000    0.021    0.000 collections.py:1497(set_color)
    52224    0.014    0.000    0.021    0.000 function_base.py:348(iterable)
     8995    0.010    0.000    0.021    0.000 transforms.py:758(__init__)
     2821    0.010    0.000    0.021    0.000 __init__.py:416(by_key)
    14153    0.003    0.000    0.020    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.020    0.020 _fontconfig_pattern.py:1(<module>)
    11227    0.004    0.000    0.020    0.000 _ufunc_config.py:435(__exit__)
    11192    0.008    0.000    0.020    0.000 transforms.py:2452(__init__)
       96    0.002    0.000    0.020    0.000 lines.py:666(recache)
      384    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.019    0.019 _pickle.py:1(<module>)
    19993    0.005    0.000    0.019    0.000 pyplot.py:966(_auto_draw_if_interactive)
   103015    0.019    0.000    0.019    0.000 transforms.py:113(__init__)
     2800    0.001    0.000    0.019    0.000 transforms.py:1573(get_matrix)
      384    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     5831    0.002    0.000    0.019    0.000 fromnumeric.py:200(reshape)
     8394    0.006    0.000    0.019    0.000 core.py:1555(make_mask)
       30    0.007    0.000    0.018    0.001 __init__.py:847(_rc_params_in_file)
       32    0.000    0.000    0.018    0.001 lines.py:1029(get_path)
    19633    0.004    0.000    0.018    0.000 _methods.py:55(_any)
      370    0.000    0.000    0.018    0.000 text.py:65(_get_text_metrics_with_cache)
     6053    0.004    0.000    0.017    0.000 fromnumeric.py:53(_wrapfunc)
    16889    0.005    0.000    0.017    0.000 transforms.py:158(invalidate)
     2947    0.010    0.000    0.017    0.000 artist.py:180(__init__)
     5596    0.004    0.000    0.017    0.000 artist.py:264(have_units)
        3    0.000    0.000    0.017    0.006 _base.py:2943(_update_title_position)
        1    0.000    0.000    0.016    0.016 Image.py:1(<module>)
    12332    0.009    0.000    0.016    0.000 cbook.py:2011(_setattr_cm)
    57334    0.016    0.000    0.016    0.000 {built-in method numpy.array}
      644    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
88104/88035    0.010    0.000    0.016    0.000 {built-in method builtins.hasattr}
      136    0.000    0.000    0.015    0.000 _docstring.py:38(__call__)
  126/115    0.000    0.000    0.015    0.000 _docstring.py:79(__call__)
     2813    0.003    0.000    0.015    0.000 _base.py:1171(_set_artist_props)
       18    0.000    0.000    0.015    0.001 axis.py:1311(_get_ticklabel_bboxes)
       18    0.000    0.000    0.015    0.001 axis.py:1315(<listcomp>)
     2816    0.002    0.000    0.015    0.000 _base.py:2573(<listcomp>)
     6033    0.003    0.000    0.015    0.000 fromnumeric.py:2836(min)
     2798    0.002    0.000    0.015    0.000 collections.py:769(set_facecolor)
    11192    0.005    0.000    0.015    0.000 {method 'all' of 'numpy.generic' objects}
     2798    0.003    0.000    0.015    0.000 core.py:8434(__call__)
     2798    0.001    0.000    0.014    0.000 cm.py:595(set_cmap)
     5702    0.003    0.000    0.014    0.000 artist.py:923(_set_gc_clip)
    18589    0.011    0.000    0.014    0.000 enum.py:359(__call__)
        2    0.000    0.000    0.014    0.007 core.py:206(read_style_directory)
     5596    0.001    0.000    0.014    0.000 transforms.py:1715(frozen)
      215    0.000    0.000    0.014    0.000 sre_parse.py:944(parse)
      707    0.000    0.000    0.014    0.000 inspect.py:3252(signature)
    49/39    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
    49/39    0.002    0.000    0.014    0.000 {built-in method _imp.exec_dynamic}
    19996    0.004    0.000    0.014    0.000 __init__.py:1285(is_interactive)
       44    0.000    0.000    0.014    0.000 text.py:73(_get_text_metrics_with_cache_impl)
        8    0.000    0.000    0.014    0.002 __init__.py:108(import_module)
        8    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap>:1038(_gcd_import)
       44    0.000    0.000    0.014    0.000 backend_agg.py:208(get_text_width_height_descent)
    11192    0.011    0.000    0.014    0.000 transforms.py:2487(get_matrix)
      707    0.000    0.000    0.014    0.000 inspect.py:2998(from_callable)
    22454    0.013    0.000    0.014    0.000 _ufunc_config.py:132(geterr)
     8394    0.003    0.000    0.013    0.000 core.py:1545(_shrink_mask)
  777/707    0.002    0.000    0.013    0.000 inspect.py:2375(_signature_from_callable)
     2798    0.003    0.000    0.013    0.000 cm.py:719(_ensure_cmap)
    41970    0.008    0.000    0.013    0.000 core.py:3692(_get_data)
6273/6234    0.002    0.000    0.013    0.000 contextlib.py:139(__exit__)
    15183    0.005    0.000    0.013    0.000 {built-in method builtins.any}
    11192    0.004    0.000    0.013    0.000 {method 'any' of 'numpy.generic' objects}
       65    0.000    0.000    0.013    0.000 font_manager.py:1233(findfont)
6273/6234    0.002    0.000    0.013    0.000 contextlib.py:130(__enter__)
  464/215    0.001    0.000    0.013    0.000 sre_parse.py:436(_parse_sub)
        1    0.000    0.000    0.013    0.013 art3d.py:1(<module>)
      450    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
     5899    0.006    0.000    0.013    0.000 fromnumeric.py:40(_wrapit)
     8458    0.002    0.000    0.013    0.000 axis.py:1758(convert_units)
       31    0.000    0.000    0.013    0.000 axis.py:1606(get_major_ticks)
      223    0.007    0.000    0.013    0.000 artist.py:1453(<listcomp>)
  495/219    0.005    0.000    0.013    0.000 sre_parse.py:494(_parse)
       78    0.001    0.000    0.013    0.000 text.py:734(draw)
        1    0.000    0.000    0.013    0.013 index_tricks.py:1(<module>)
     6193    0.004    0.000    0.013    0.000 inspect.py:2637(__init__)
        9    0.000    0.000    0.013    0.001 axis.py:2143(_get_tick_boxes_siblings)
176130/175960    0.012    0.000    0.013    0.000 {method 'update' of 'dict' objects}
    49070    0.012    0.000    0.012    0.000 {built-in method numpy.asanyarray}
        3    0.003    0.001    0.012    0.004 font_manager.py:1393(_findfont_cached)
     9934    0.012    0.000    0.012    0.000 {method 'search' of 're.Pattern' objects}
270063/268921    0.012    0.000    0.012    0.000 {built-in method builtins.len}
     5752    0.006    0.000    0.012    0.000 __init__.py:132(check_shape)
     8394    0.007    0.000    0.012    0.000 shape_base.py:23(atleast_1d)
       32    0.000    0.000    0.012    0.000 axis.py:287(draw)
       20    0.000    0.000    0.012    0.001 axis.py:1555(_get_tick)
       12    0.000    0.000    0.012    0.001 _docstring.py:51(__missing__)
        1    0.000    0.000    0.012    0.012 figure.py:799(subplots)
     2979    0.003    0.000    0.012    0.000 transforms.py:302(xmin)
        1    0.000    0.000    0.012    0.012 gridspec.py:264(subplots)
        1    0.000    0.000    0.012    0.012 figure.py:658(add_subplot)
     6043    0.002    0.000    0.012    0.000 fromnumeric.py:2692(max)
        1    0.000    0.000    0.012    0.012 _base.py:569(__init__)
     2798    0.010    0.000    0.012    0.000 {built-in method matplotlib._path.get_path_collection_extents}
28395/16889    0.010    0.000    0.012    0.000 transforms.py:167(_invalidate_internal)
        6    0.000    0.000    0.012    0.002 axis.py:2599(_update_label_position)
       55    0.001    0.000    0.012    0.000 lines.py:711(_transform_path)
     5596    0.002    0.000    0.012    0.000 fromnumeric.py:2957(amin)
    27981    0.011    0.000    0.011    0.000 {method 'view' of 'numpy.generic' objects}
     5702    0.002    0.000    0.011    0.000 backend_bases.py:934(set_clip_path)
     5752    0.005    0.000    0.011    0.000 path.py:202(_update_values)
        1    0.000    0.000    0.011    0.011 pyplot.py:439(_warn_if_gui_out_of_main_thread)
        3    0.000    0.000    0.011    0.004 pyplot.py:270(_get_backend_mod)
      2/1    0.000    0.000    0.011    0.011 pyplot.py:284(switch_backend)
34201/22752    0.009    0.000    0.011    0.000 transforms.py:2398(<lambda>)
     8458    0.004    0.000    0.011    0.000 units.py:56(_is_natively_supported)
     8441    0.002    0.000    0.011    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.011    0.011 geo.py:1(<module>)
     2816    0.004    0.000    0.011    0.000 cbook.py:215(connect)
     8394    0.004    0.000    0.011    0.000 collections.py:710(<listcomp>)
     5596    0.002    0.000    0.011    0.000 fromnumeric.py:2814(amax)
    11193    0.002    0.000    0.011    0.000 core.py:1329(make_mask_descr)
     2888    0.001    0.000    0.011    0.000 transforms.py:794(unit)
        1    0.000    0.000    0.011    0.011 defmatrix.py:1(<module>)
     2798    0.002    0.000    0.011    0.000 collections.py:591(set_linestyle)
      105    0.001    0.000    0.011    0.000 artist.py:170(<listcomp>)
        1    0.000    0.000    0.011    0.011 numerictypes.py:1(<module>)
       63    0.000    0.000    0.010    0.000 backend_agg.py:250(_prepare_font)
    51333    0.010    0.000    0.010    0.000 fromnumeric.py:72(<dictcomp>)
        1    0.000    0.000    0.010    0.010 _base.py:1381(clear)
        1    0.000    0.000    0.010    0.010 _base.py:1254(__clear)
    18142    0.006    0.000    0.010    0.000 colors.py:216(_is_nth_color)
    24401    0.004    0.000    0.010    0.000 abc.py:117(__instancecheck__)
        1    0.000    0.000    0.010    0.010 _axes.py:46(Axes)
     8454    0.005    0.000    0.010    0.000 cbook.py:1685(_safe_first_finite)
    67435    0.010    0.000    0.010    0.000 {built-in method builtins.min}
22703/22702    0.004    0.000    0.010    0.000 transforms.py:2592(get_matrix)
        1    0.000    0.000    0.010    0.010 linalg.py:1(<module>)
      319    0.010    0.000    0.010    0.000 {built-in method io.open_code}
       95    0.000    0.000    0.010    0.000 re.py:249(compile)
     3014    0.002    0.000    0.010    0.000 transforms.py:1998(rotate_deg)
      264    0.009    0.000    0.010    0.000 shape_base.py:612(column_stack)
        1    0.000    0.000    0.010    0.010 genomeBcalc.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _type_aliases.py:1(<module>)
       63    0.000    0.000    0.009    0.000 font_manager.py:1303(_find_fonts_by_props)
     8461    0.003    0.000    0.009    0.000 _base.py:559(_axis_map)
22432/11216    0.007    0.000    0.009    0.000 transforms.py:2397(<lambda>)
     2798    0.003    0.000    0.009    0.000 collections.py:725(set_antialiased)
        1    0.000    0.000    0.009    0.009 axis.py:1(<module>)
        1    0.000    0.000    0.009    0.009 backend_macosx.py:1(<module>)
