= Calculating relative diversity (B) for all neutral sites across the genome. = = =
Using recombination (crossover) map from ../bin/200kb.map
Plot saved to genome_plot.png
= B value calculated in 1.25 seconds. = = =
         1366344 function calls (1345329 primitive calls) in 1.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    56207    0.005    0.000    0.005    0.000 {built-in method builtins.min}
     4252    0.002    0.000    0.005    0.000 artist.py:1555(aliased_name)
        1    0.000    0.000    0.005    0.005 font_manager.py:1(<module>)
    11784    0.002    0.000    0.005    0.000 __init__.py:741(__getitem__)
      374    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     5133    0.003    0.000    0.005    0.000 sre_parse.py:255(get)
      212    0.000    0.000    0.005    0.000 threading.py:288(wait)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.005    0.005 version.py:157(Version)
        1    0.000    0.000    0.005    0.005 backend_bases.py:2645(__init__)
     4707    0.001    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.005    0.005 axis3d.py:1(<module>)
        2    0.000    0.000    0.005    0.002 axis.py:882(clear)
      938    0.003    0.000    0.004    0.000 inspect.py:2920(__init__)
       12    0.000    0.000    0.004    0.000 threading.py:916(start)
        1    0.000    0.000    0.004    0.004 py3k.py:1(<module>)
      504    0.001    0.000    0.004    0.000 typing.py:146(_type_check)
      143    0.000    0.000    0.004    0.000 markers.py:225(__init__)
       12    0.000    0.000    0.004    0.000 threading.py:589(wait)
        1    0.000    0.000    0.004    0.004 secrets.py:1(<module>)
       31    0.000    0.000    0.004    0.000 axis.py:1497(get_minorticklocs)
        2    0.000    0.000    0.004    0.002 axis.py:794(_set_scale)
        2    0.000    0.000    0.004    0.002 scale.py:103(set_default_locators_and_formatters)
    77858    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
      393    0.001    0.000    0.004    0.000 artist.py:1176(_update_props)
        1    0.004    0.004    0.004    0.004 backend_macosx.py:116(__init__)
       14    0.000    0.000    0.004    0.000 axis.py:1576(_copy_tick_props)
        2    0.000    0.000    0.004    0.002 ticker.py:425(__init__)
        2    0.000    0.000    0.004    0.002 ticker.py:537(set_useMathText)
        1    0.000    0.000    0.004    0.004 textpath.py:1(<module>)
      143    0.000    0.000    0.004    0.000 markers.py:306(_set_marker)
     2117    0.002    0.000    0.004    0.000 copy.py:66(copy)
      277    0.000    0.000    0.004    0.000 artist.py:147(<lambda>)
 1806/310    0.000    0.000    0.004    0.000 abc.py:121(__subclasscheck__)
        1    0.000    0.000    0.004    0.004 quiver.py:1(<module>)
 1806/310    0.004    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
       61    0.001    0.000    0.004    0.000 lines.py:287(__init__)
      619    0.003    0.000    0.004    0.000 enum.py:89(__setitem__)
      277    0.000    0.000    0.004    0.000 artist.py:1223(set)
1866/1710    0.000    0.000    0.004    0.000 {built-in method builtins.next}
     3411    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.004    0.004 scale.py:1(<module>)
        1    0.000    0.000    0.004    0.004 numeric.py:1(<module>)
      421    0.000    0.000    0.004    0.000 typing.py:515(<genexpr>)
       42    0.000    0.000    0.004    0.000 lines.py:1336(update_from)
      343    0.000    0.000    0.004    0.000 artist.py:1212(_internal_update)
     2936    0.002    0.000    0.004    0.000 __init__.py:132(check_shape)
        1    0.000    0.000    0.004    0.004 helpers.py:1(<module>)
        4    0.000    0.000    0.003    0.001 collections.py:346(draw)
        1    0.000    0.000    0.003    0.003 core.py:6069(<listcomp>)
     9007    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.003    0.003 category.py:1(<module>)
      504    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     2936    0.001    0.000    0.003    0.000 path.py:202(_update_values)
      550    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.003    0.003 common.py:1(<module>)
      317    0.000    0.000    0.003    0.000 overrides.py:142(decorator)
      6/4    0.000    0.000    0.003    0.001 axis.py:575(__get__)
  2534/42    0.002    0.000    0.003    0.000 copy.py:128(deepcopy)
       48    0.000    0.000    0.003    0.000 __init__.py:1347(_add_data_doc)
        2    0.003    0.001    0.003    0.002 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   168/42    0.000    0.000    0.003    0.000 copy.py:227(_deepcopy_dict)
        1    0.000    0.000    0.003    0.003 common.py:8(pyparsing_common)
      638    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
       31    0.000    0.000    0.003    0.000 axis.py:1493(get_majorticklocs)
        1    0.002    0.002    0.003    0.003 bedgffHandler.py:4(bedgffHandler)
       10    0.000    0.000    0.003    0.000 axis.py:944(set_tick_params)
       18    0.000    0.000    0.003    0.000 rcsetup.py:799(validate_cycler)
     1554    0.002    0.000    0.003    0.000 font_manager.py:1115(score_family)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
     2236    0.001    0.000    0.003    0.000 typing.py:986(__setattr__)
    45/12    0.000    0.000    0.003    0.000 typing.py:1046(__getitem__)
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
     1188    0.001    0.000    0.003    0.000 copy.py:259(_reconstruct)
       19    0.003    0.000    0.003    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        2    0.000    0.000    0.003    0.001 shape_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ExifTags.py:21(Base)
     7317    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
        3    0.000    0.000    0.003    0.001 backend_agg.py:393(get_renderer)
        2    0.003    0.001    0.003    0.001 backend_agg.py:64(__init__)
        1    0.000    0.000    0.003    0.003 _parser.py:1(<module>)
  668/629    0.000    0.000    0.003    0.000 contextlib.py:130(__enter__)
       47    0.000    0.000    0.003    0.000 text.py:104(__init__)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
       40    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        3    0.000    0.000    0.003    0.001 patches.py:2211(__init_subclass__)
      256    0.000    0.000    0.003    0.000 transforms.py:1472(transform)
        2    0.000    0.000    0.003    0.001 _base.py:3157(grid)
        4    0.000    0.000    0.003    0.001 axis.py:1658(grid)
        6    0.000    0.000    0.003    0.000 patches.py:2253(pprint_styles)
       12    0.000    0.000    0.003    0.000 patches.py:579(draw)
       12    0.000    0.000    0.003    0.000 core.py:1135(parse_string)
