Distance,B
1633,0.830691
1634,0.830739
1635,0.830786
1636,0.830834
1637,0.830881
1638,0.830929
1639,0.830976
1640,0.831024
1641,0.831071
1642,0.831119
1643,0.831166
1644,0.831213
1645,0.831260
1646,0.831308
1647,0.831355
1648,0.831402
1649,0.831449
1650,0.831496
1651,0.831543
1652,0.831591
1653,0.831638
1654,0.831685
1655,0.831732
1656,0.831779
1657,0.831826
1658,0.831872
1659,0.831919
1660,0.831966
1661,0.832013
1662,0.832060
1663,0.832107
1664,0.832153
1665,0.832200
1666,0.832247
1667,0.832294
1668,0.832340
1669,0.832387
1670,0.832433
1671,0.832480
1672,0.832526
1673,0.832573
1674,0.832619
1675,0.832666
1676,0.832712
1677,0.832759
1678,0.832805
1679,0.832852
1680,0.832898
1681,0.832944
1682,0.832990
1683,0.833037
1684,0.833083
1685,0.833129
1686,0.833175
1687,0.833221
1688,0.833267
1689,0.833314
1690,0.833360
1691,0.833406
1692,0.833452
1693,0.833498
1694,0.833544
1695,0.833590
1696,0.833635
1697,0.833681
1698,0.833727
1699,0.833773
1700,0.833819
1701,0.833865
1702,0.833910
1703,0.833956
1704,0.834002
1705,0.834047
1706,0.834093
1707,0.834139
1708,0.834184
1709,0.834230
1710,0.834275
1711,0.834321
1712,0.834366
1713,0.834412
1714,0.834457
1715,0.834503
1716,0.834548
1717,0.834593
1718,0.834639
1719,0.834684
1720,0.834729
1721,0.834775
1722,0.834820
1723,0.834865
1724,0.834910
1725,0.834955
1726,0.835001
1727,0.835046
1728,0.835091
1729,0.835136
1730,0.835181
1731,0.835226
1732,0.835271
1733,0.835316
1734,0.835361
1735,0.835406
1736,0.835451
1737,0.835495
1738,0.835540
1739,0.835585
1740,0.835630
1741,0.835675
1742,0.835719
1743,0.835764
1744,0.835809
1745,0.835853
1746,0.835898
1747,0.835943
1748,0.835987
1749,0.836032
1750,0.836076
1751,0.836121
1752,0.836165
1753,0.836210
1754,0.836254
1755,0.836298
1756,0.836343
1757,0.836387
1758,0.836432
1759,0.836476
1760,0.836520
1761,0.836564
1762,0.836609
1763,0.836653
1764,0.836697
1765,0.836741
1766,0.836785
1767,0.836829
1768,0.836873
1769,0.836918
1770,0.836962
1771,0.837006
1772,0.837050
1773,0.837094
1774,0.837137
1775,0.837181
1776,0.837225
1777,0.837269
1778,0.837313
1779,0.837357
1780,0.837401
1781,0.837444
1782,0.837488
1783,0.837532
1784,0.837576
1785,0.837619
1786,0.837663
1787,0.837706
1788,0.837750
1789,0.837794
1790,0.837837
1791,0.837881
1792,0.837924
1793,0.837968
1794,0.838011
1795,0.838055
1796,0.838098
1797,0.838141
1798,0.838185
1799,0.838228
1800,0.838271
1801,0.838315
1802,0.838358
1803,0.838401
1804,0.838444
1805,0.838488
1806,0.838531
1807,0.838574
1808,0.838617
1809,0.838660
1810,0.838703
1811,0.838746
1812,0.838789
1813,0.838832
1814,0.838875
1815,0.838918
1816,0.838961
1817,0.839004
1818,0.839047
1819,0.839090
1820,0.839133
1821,0.839176
1822,0.839218
1823,0.839261
1824,0.839304
1825,0.839347
1826,0.839389
1827,0.839432
1828,0.839475
1829,0.839517
1830,0.839560
1831,0.839602
1832,0.839645
1833,0.839688
1834,0.839730
1835,0.839773
1836,0.839815
1837,0.839858
1838,0.839900
1839,0.839942
